"","name","year","F","M","greatermale"
"369","Aaya",2016,45,0,FALSE
"370","Aayaan",2016,0,44,TRUE
"371","Aayah",2016,31,0,FALSE
"372","Aayam",2016,0,20,TRUE
"373","Aayan",2016,0,1197,TRUE
"374","Aayana",2016,114,0,FALSE
"375","Aayanah",2010,10,0,FALSE
"376","Aayanna",2010,38,0,FALSE
"377","Aayansh",2016,0,110,TRUE
"378","Aayat",2016,77,0,FALSE
"379","Aaydan",2015,0,11,TRUE
"380","Aayden",2011,5,0,FALSE
"381","Aayden",2016,0,1322,TRUE
"382","Aayla",2016,367,0,FALSE
"383","Aaylah",2016,67,0,FALSE
"384","Aayliah",2015,81,0,FALSE
"385","Aayra",2016,21,0,FALSE
"386","Aayu",2013,0,6,TRUE
"387","Aayush",2016,0,1099,TRUE
"388","Aayusha",2015,11,0,FALSE
"389","Aayushi",2016,215,0,FALSE
"390","Aazan",2012,0,5,TRUE
"391","Aazeen",2016,5,0,FALSE
"392","Aazil",2016,0,6,TRUE
"393","Aazim",2015,0,21,TRUE
"394","Aaziyah",2016,28,0,FALSE
"395","Ab",2015,0,362,TRUE
"396","Aba",2001,22,0,FALSE
"397","Aba",2006,0,5,TRUE
"398","Abaan",2016,0,36,TRUE
"399","Abaas",2016,0,6,TRUE
"400","Abad",2014,0,82,TRUE
"401","Abagael",2014,210,0,FALSE
"402","Abagail",2016,5549,0,FALSE
"403","Abagaile",2007,15,0,FALSE
"404","Abagale",2015,366,0,FALSE
"405","Abagayle",2016,341,0,FALSE
"406","Abaigael",2016,19,0,FALSE
"407","Abaigail",2011,10,0,FALSE
"408","Abaigeal",2016,321,0,FALSE
"409","Aban",2015,0,24,TRUE
"410","Abanoub",2016,0,138,TRUE
"411","Abas",2016,0,71,TRUE
"412","Abasi",2003,0,40,TRUE
"413","Abass",2016,0,80,TRUE
"414","Abayomi",2009,0,215,TRUE
"415","Abb",1946,0,96,TRUE
"416","Abba",1924,6,0,FALSE
"417","Abba",2016,0,39,TRUE
"418","Abbaas",2002,0,5,TRUE
"419","Abbagail",2016,833,0,FALSE
"420","Abbagale",2014,134,0,FALSE
"421","Abbagayle",2013,112,0,FALSE
"422","Abbas",2016,0,1189,TRUE
"423","Abbe",2014,1325,0,FALSE
"424","Abbee",2014,163,0,FALSE
"425","Abbegail",2012,246,0,FALSE
